Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,6520.0,6520.0,6373.0,6393.0,5233.56201171875,1968980
2018-01-03,6400.0,6450.0,6234.0,6373.0,5217.189453125,2992824
2018-01-04,6373.0,6399.0,6198.0,6247.0,5114.04052734375,2678882
2018-01-05,6250.0,6319.0,6209.0,6318.0,5172.1630859375,3888157
2018-01-08,6318.0,6442.0,6261.0,6401.0,5240.109375,3809290
2018-01-09,6401.0,6625.0,6311.0,6566.0,5375.185546875,5531297
2018-01-10,6565.0,6698.0,6421.0,6480.0,5304.78271484375,7682879
2018-01-11,6480.0,6550.0,6370.0,6383.0,5225.3759765625,2102397
2018-01-12,6573.0,6573.0,6241.0,6333.0,5184.44287109375,4238620
2018-01-15,6350.0,6350.0,5764.0,5985.0,4899.556640625,8664909
2018-01-16,5903.0,6060.0,5903.0,5940.0,4862.7177734375,4937990
2018-01-17,5900.0,6270.0,5884.0,6100.0,4993.7001953125,6497057
2018-01-18,6090.0,6695.0,6090.0,6663.0,5454.5947265625,18169637
2018-01-19,6570.0,6745.0,6538.0,6729.0,5508.6240234375,5643081
2018-01-22,6700.0,6855.0,6615.0,6644.0,5439.03955078125,3754400
2018-01-23,6633.0,6788.0,6633.0,6700.0,5484.8837890625,6736268
2018-01-24,6700.0,6787.0,6492.0,6567.0,5376.00439453125,6238809
2018-01-25,6200.0,6567.0,6160.0,6427.0,5261.3955078125,10411144
2018-01-26,6460.0,6857.0,6400.0,6710.0,5493.0712890625,6892380
2018-01-29,6655.0,6772.0,6550.0,6593.0,5397.2890625,7853394
2018-01-30,6501.0,6629.0,6430.0,6490.0,5312.9697265625,3154028
2018-01-31,6490.0,6591.0,6382.0,6417.0,5253.2080078125,12745688
2018-02-01,6400.0,6490.0,6272.0,6309.0,5164.79541015625,4466689
2018-02-02,6350.0,6381.0,6185.0,6319.0,5172.98193359375,4125521
2018-02-05,6201.0,6310.0,6153.0,6249.0,5115.6767578125,3939512
2018-02-06,6050.0,6249.0,5983.0,6227.0,5097.66796875,4788797
2018-02-07,6249.0,6422.0,6111.0,6352.0,5199.9970703125,6052185
2018-02-08,6355.0,6400.0,6240.0,6301.0,5158.24658203125,4809958
2018-02-09,6240.0,6438.0,6151.0,6430.0,5263.8515625,4523927
2018-02-12,6400.0,6469.0,6266.0,6397.0,5236.83544921875,4172175
2018-02-13,6340.0,6471.0,6265.0,6350.0,5198.359375,4403142
2018-02-14,6349.0,6474.0,6300.0,6370.0,5214.732421875,7139832
2018-02-15,6457.0,6749.0,6440.0,6701.0,5485.70263671875,6732870
2018-02-16,6749.0,6785.0,6613.0,6695.0,5480.79052734375,3476192
2018-02-19,6615.0,6722.0,6494.0,6564.0,5373.54931640625,3292328
2018-02-20,6640.0,6640.0,6405.0,6442.0,5273.6748046875,2560524
2018-02-21,6400.0,6443.0,6234.0,6421.0,5256.4833984375,4993320
2018-02-22,6350.0,6770.0,6300.0,6540.0,5353.90185546875,7259537
2018-02-23,6500.0,6608.0,6417.0,6501.0,5321.97509765625,4467728
2018-02-26,6588.0,6759.0,6550.0,6725.0,5505.35009765625,4712194
2018-02-27,6750.0,6816.0,6701.0,6754.0,5529.09033203125,3260846
2018-02-28,6689.0,6749.0,6535.0,6535.0,5349.80810546875,4639618
2018-03-01,6455.0,6529.0,6360.0,6409.0,5246.6591796875,3664957
2018-03-02,6350.0,6574.0,6251.0,6427.0,5261.3955078125,3526261
2018-03-05,6336.0,6477.0,6302.0,6451.0,5281.04248046875,2905489
2018-03-06,6514.0,6777.0,6471.0,6605.0,5407.1123046875,4602984
2018-03-07,6550.0,6660.0,6481.0,6622.0,5421.02978515625,3702292
2018-03-08,6632.0,6738.0,6457.0,6480.0,5304.78271484375,4528390
2018-03-09,6458.0,6593.0,6428.0,6499.0,5320.33642578125,3171318
2018-03-12,6530.0,6620.0,6431.0,6448.0,5278.5859375,2669690
2018-03-13,6433.0,6526.0,6260.0,6275.0,5136.9619140625,6460327
2018-03-14,6198.0,6199.0,6020.0,6075.0,5060.7392578125,7299642
2018-03-15,6078.0,6126.0,6040.0,6058.0,5046.57666015625,8559890
2018-03-16,6058.0,6163.0,6010.0,6070.0,5056.5732421875,7036016
2018-03-19,6100.0,6224.0,6035.0,6190.0,5156.5380859375,2884639
2018-03-20,6190.0,6387.0,6155.0,6373.0,5308.986328125,3016071
2018-03-22,6341.0,6409.0,6119.0,6145.0,5119.0517578125,4938738
2018-03-23,6120.0,6198.0,6067.0,6095.0,5077.3994140625,4325383
2018-03-26,6100.0,6188.0,6025.0,6133.0,5109.0546875,3346214
2018-03-27,6200.0,6234.0,6093.0,6097.0,5079.0654296875,3799178
2018-03-28,6050.0,6075.0,5900.0,5951.0,4957.44091796875,4876791
2018-03-29,5964.0,6136.0,5964.0,6000.0,4998.26025390625,4077235
2018-04-03,5982.0,6190.0,5955.0,6000.0,4998.26025390625,3255513
2018-04-04,6000.0,6040.0,5843.0,5902.0,4916.6220703125,6349615
2018-04-05,5935.0,6130.0,5935.0,6031.0,5024.08447265625,3785907
2018-04-06,6000.0,6237.0,5995.0,6174.0,5143.20947265625,3680005
2018-04-09,6202.0,6259.0,6115.0,6179.0,5147.37451171875,3389391
2018-04-10,6187.0,6234.0,6122.0,6150.0,5123.216796875,2701376
2018-04-11,6150.0,6272.0,6124.0,6176.0,5144.87548828125,3049183
2018-04-12,6176.0,6243.0,6154.0,6214.0,5176.53076171875,4329180
2018-04-13,6206.0,6392.0,6190.0,6375.0,5310.6513671875,2609503
2018-04-16,6375.0,6392.0,6250.0,6333.0,5275.66357421875,2223111
2018-04-17,6350.0,6456.0,6325.0,6430.0,5356.46923828125,2833401
2018-04-18,6423.0,6558.0,6368.0,6535.0,5443.9384765625,6485357
2018-04-19,6583.0,6647.0,6456.0,6470.0,5389.79052734375,2862573
2018-04-20,6498.0,6498.0,6383.0,6425.0,5352.30322265625,6751447
2018-04-23,6380.0,6425.0,6343.0,6420.0,5348.1376953125,1398745
2018-04-24,6430.0,6454.0,6231.0,6244.0,5201.5234375,2100509
2018-04-25,6236.0,6350.0,6236.0,6268.0,5221.51513671875,2281591
2018-04-26,6232.0,6419.0,6232.0,6361.0,5298.98876953125,2778826
2018-04-30,6425.0,6486.0,6350.0,6425.0,5352.30322265625,4276527
2018-05-02,6410.0,6442.0,6332.0,6375.0,5310.6513671875,3479536
2018-05-03,6414.0,6431.0,6337.0,6337.0,5278.99609375,2774588
2018-05-04,6400.0,6400.0,6262.0,6304.0,5251.50537109375,4560129
2018-05-07,6300.0,6353.0,6248.0,6250.0,5206.52099609375,2063730
2018-05-08,6251.0,6262.0,6074.0,6159.0,5130.7138671875,3742487
2018-05-09,6160.0,6224.0,6160.0,6180.0,5148.2080078125,5018452
2018-05-10,6250.0,6256.0,6028.0,6049.0,5039.0791015625,3925919
2018-05-11,6050.0,6230.0,6031.0,6197.0,5162.369140625,2474311
2018-05-14,6197.0,6223.0,6135.0,6208.0,5171.53369140625,3618063
2018-05-15,6180.0,6189.0,6086.0,6095.0,5077.3994140625,3090994
2018-05-16,6095.0,6191.0,6017.0,6080.0,5064.90283203125,1713940
2018-05-17,6030.0,6114.0,6017.0,6043.0,5034.0810546875,2222173
2018-05-18,6000.0,6111.0,6000.0,6000.0,4998.26025390625,1861761
2018-05-21,6000.0,6109.0,5975.0,5990.0,4989.9296875,1854983
2018-05-22,6000.0,6019.0,5960.0,5990.0,4989.9296875,2580493
2018-05-23,5990.0,5998.0,5911.0,5930.0,4939.94677734375,4109678
2018-05-24,5930.0,5997.0,5829.0,5869.0,4889.130859375,5440454
2018-05-25,5935.0,6115.0,5884.0,6090.0,5073.234375,3130907
2018-05-28,6099.0,6124.0,6005.0,6077.0,5062.404296875,1795897
2018-05-29,6060.0,6060.0,5899.0,5899.0,4914.123046875,2692302
2018-05-30,5899.0,5919.0,5800.0,5840.0,4864.97314453125,5931973
2018-05-31,5840.0,5889.0,5828.0,5834.0,4859.97509765625,13072040
2018-06-01,5850.0,5896.0,5816.0,5830.0,4856.642578125,6908370
2018-06-04,5845.0,5913.0,5830.0,5843.0,4867.47265625,9709788
2018-06-05,5844.0,5877.0,5586.0,5695.0,4744.18212890625,7510705
2018-06-06,5673.0,5745.0,5662.0,5662.0,4716.69140625,2885628
2018-06-07,5677.0,5715.0,5630.0,5645.0,4702.53076171875,5254977
2018-06-08,5628.0,5665.0,5553.0,5662.0,4716.69140625,4472564
2018-06-11,5645.0,5650.0,5565.0,5628.0,4688.3681640625,3710564
2018-06-12,5612.0,5685.0,5589.0,5669.0,4722.52197265625,4026816
2018-06-13,5671.0,5672.0,5571.0,5610.0,4673.373046875,2909854
2018-06-14,5636.0,5714.0,5589.0,5665.0,4719.18994140625,2912522
2018-06-15,5699.0,5699.0,5558.0,5567.0,4637.5517578125,9540732
2018-06-18,5566.0,5650.0,5460.0,5514.0,4593.4013671875,2352377
2018-06-19,5498.0,5533.0,5316.0,5433.0,4525.9248046875,4787377
2018-06-20,5453.0,5552.0,5408.0,5500.0,4581.73876953125,4476830
2018-06-21,5489.0,5528.0,5415.0,5449.0,4539.25390625,5807167
2018-06-22,5449.0,5558.0,5404.0,5415.0,4510.9296875,3867247
2018-06-25,5500.0,5500.0,5325.0,5350.0,4456.78271484375,3831348
2018-06-26,5364.0,5606.0,5364.0,5519.0,4597.56689453125,5468912
2018-06-27,5519.0,5520.0,5311.0,5340.0,4448.45166015625,4631901
2018-06-28,5300.0,5469.0,5214.0,5393.0,4492.6025390625,2955012
2018-06-29,5451.0,5598.0,5438.0,5545.0,4619.2255859375,3501461
2018-07-02,5532.0,5595.0,5457.0,5562.0,4633.38720703125,1899508
2018-07-03,5600.0,5711.0,5561.0,5669.0,4722.52197265625,3306240
2018-07-04,5631.0,5697.0,5491.0,5519.0,4597.56689453125,2078192
2018-07-05,5504.0,5616.0,5500.0,5500.0,4581.73876953125,3461793
2018-07-06,5585.0,5585.0,5387.0,5469.0,4555.91357421875,4466775
2018-07-09,5483.0,5597.0,5480.0,5545.0,4619.2255859375,2911509
2018-07-10,5545.0,5600.0,5455.0,5465.0,4552.58203125,3677286
2018-07-11,5352.0,5523.0,5350.0,5495.0,4577.57373046875,3601051
2018-07-12,5530.0,5582.0,5476.0,5500.0,4581.73876953125,2420287
2018-07-13,5505.0,5537.0,5450.0,5460.0,4548.4169921875,1922590
2018-07-16,5428.0,5453.0,5269.0,5343.0,4450.95068359375,3604974
2018-07-17,5342.0,5342.0,5252.0,5328.0,4438.455078125,3888893
2018-07-18,5340.0,5395.0,5278.0,5290.0,4406.79931640625,3610274
2018-07-19,5196.0,5412.0,5100.0,5318.0,4430.125,8112929
2018-07-20,5290.0,5411.0,5282.0,5345.0,4452.6162109375,2667452
2018-07-23,5351.0,5364.0,5260.0,5285.0,4402.6337890625,2172970
2018-07-24,5285.0,5294.0,5182.0,5190.0,4323.4951171875,6078871
2018-07-25,5176.0,5243.0,5152.0,5185.0,4319.32958984375,2796008
2018-07-26,5190.0,5300.0,5164.0,5191.0,4324.328125,2513112
2018-07-27,5185.0,5204.0,5150.0,5170.0,4306.833984375,4725033
2018-07-30,5159.0,5175.0,5061.0,5084.0,4235.1923828125,5310295
2018-07-31,5095.0,5160.0,5080.0,5116.0,4261.85009765625,8204431
2018-08-01,5150.0,5235.0,5097.0,5229.0,4355.984375,3825528
2018-08-02,5175.0,5196.0,5094.0,5094.0,4243.52294921875,2672688
2018-08-03,5149.0,5221.0,5032.0,5190.0,4323.4951171875,2384533
2018-08-06,5240.0,5240.0,5114.0,5144.0,4285.17431640625,1429959
2018-08-07,5151.0,5179.0,5098.0,5125.0,4269.3466796875,2830883
2018-08-08,5121.0,5184.0,5090.0,5140.0,4281.84228515625,7615120
2018-08-10,5130.0,5149.0,4978.0,5006.0,4170.21533203125,2222965
2018-08-13,4950.0,4994.0,4881.0,4984.0,4151.8876953125,4948271
2018-08-14,4982.0,5101.0,4982.0,5095.0,4244.35546875,4504863
2018-08-15,5093.0,5119.0,5025.0,5083.0,4234.359375,6043669
2018-08-16,5080.0,5152.0,5060.0,5098.0,4246.8544921875,6959302
2018-08-17,5100.0,5106.0,4945.0,5040.0,4198.5380859375,3580712
2018-08-20,5067.0,5120.0,5056.0,5090.0,4240.19091796875,3129564
2018-08-21,5077.0,5235.0,5077.0,5155.0,4294.33837890625,12661269
2018-08-22,5171.0,5171.0,5086.0,5155.0,4294.33837890625,4324887
2018-08-23,5101.0,5255.0,4801.0,5060.0,4215.19921875,20589351
2018-08-24,5070.0,5087.0,4970.0,5000.0,4165.21630859375,7762357
2018-08-27,5041.0,5148.0,4986.0,5130.0,4273.51171875,7744605
2018-08-28,5150.0,5432.0,5135.0,5341.0,4449.2841796875,6265073
2018-08-29,5299.0,5449.0,5269.0,5382.0,4483.439453125,8783457
2018-08-30,5350.0,5426.0,5197.0,5250.0,4373.47705078125,6297632
2018-08-31,5250.0,5507.0,5185.0,5422.0,4516.7607421875,6807802
2018-09-03,5401.0,5560.0,5345.0,5465.0,4552.58203125,5829091
2018-09-04,5400.0,5480.0,5252.0,5307.0,4420.96142578125,4410949
2018-09-05,5250.0,5398.0,5181.0,5250.0,4373.47705078125,5715053
2018-09-06,5250.0,5290.0,5188.0,5190.0,4323.4951171875,10335976
2018-09-07,5201.0,5271.0,5133.0,5210.0,4340.15625,4579441
2018-09-10,5171.0,5309.0,5145.0,5200.0,4331.826171875,3706269
2018-09-11,5210.0,5253.0,5156.0,5231.0,4357.6494140625,4545160
2018-09-12,5156.0,5156.0,5060.0,5100.0,4357.22265625,3616622
2018-09-13,5140.0,5244.0,5011.0,5178.0,4423.8623046875,4110964
2018-09-14,5220.0,5260.0,5131.0,5133.0,4385.41650390625,2316172
2018-09-17,5130.0,5140.0,5006.0,5014.0,4283.74755859375,3150444
2018-09-18,5017.0,5086.0,4950.0,5016.0,4285.4560546875,5317393
2018-09-19,5050.0,5062.0,5005.0,5037.0,4303.39794921875,5523836
2018-09-20,5036.0,5146.0,5028.0,5100.0,4357.22265625,9887205
2018-09-21,5102.0,5291.0,5089.0,5123.0,4376.87255859375,5805119
2018-09-25,5105.0,5105.0,4988.0,5051.0,4315.35888671875,4295977
2018-09-26,5052.0,5118.0,5026.0,5051.0,4315.35888671875,2462291
2018-09-27,5022.0,5089.0,5011.0,5046.0,4311.0869140625,2543278
2018-09-28,5042.0,5050.0,4901.0,4960.0,4237.61279296875,3496866
2018-10-01,4960.0,5082.0,4933.0,5000.0,4271.78662109375,2547085
2018-10-02,4965.0,4966.0,4816.0,4880.0,4169.263671875,4232633
2018-10-03,4880.0,4880.0,4775.0,4815.0,4113.7314453125,4475493
2018-10-04,4774.0,4801.0,4600.0,4765.0,4071.012939453125,4791505
2018-10-05,4721.0,4793.0,4675.0,4755.0,4062.468994140625,2836337
2018-10-08,4720.0,4858.0,4664.0,4858.0,4150.46826171875,4031251
