,Date,Period End,year,month,YMD,"To Musina,Total_3201","To Musina,Light_3201","To Musina,Short HV_3201","To Musina,Medium HV_3201","To Musina,Long HV_3201","To Beit Bridge,Total_3201","To Beit Bridge,Light_3201","To Beit Bridge,Short HV_3201","To Beit Bridge,Medium HV_3201","To Beit Bridge,Long HV_3201","Road,Total_3201","Road,Light_3201","Road,Short HV_3201","Road,Medium HV_3201","Road,Long HV_3201","To Beit Bridge,Total_3202","To Beit Bridge,Light_3202","To Beit Bridge,Short HV_3202","To Beit Bridge,Medium HV_3202","To Beit Bridge,Long HV_3202","To Musina,Total_3202","To Musina,Light_3202","To Musina,Short HV_3202","To Musina,Medium HV_3202","To Musina,Long HV_3202","Road,Total_3202","Road,Light_3202","Road,Short HV_3202","Road,Medium HV_3202","Road,Long HV_3202",_merge,dt
0,2018-01-01,03:00:00,2018,1,2018-01-01,129.0,98.0,6.0,13.0,12.0,360.0,307.0,23.0,12.0,18.0,489.0,405.0,29.0,25.0,30.0,126.0,83.0,11.0,18.0,14.0,359.0,271.0,52.0,15.0,21.0,485.0,354.0,63.0,33.0,35.0,both,2018-01-01
1,2018-01-01,06:00:00,2018,1,2018-01-01,181.0,150.0,0.0,16.0,15.0,290.0,230.0,12.0,10.0,38.0,471.0,380.0,12.0,26.0,53.0,187.0,139.0,10.0,17.0,21.0,289.0,217.0,20.0,11.0,41.0,476.0,356.0,30.0,28.0,62.0,both,2018-01-01
2,2018-01-01,09:00:00,2018,1,2018-01-01,200.0,184.0,3.0,2.0,11.0,262.0,235.0,6.0,7.0,14.0,462.0,419.0,9.0,9.0,25.0,204.0,180.0,13.0,2.0,9.0,252.0,209.0,17.0,10.0,16.0,456.0,389.0,30.0,12.0,25.0,both,2018-01-01
3,2018-01-01,12:00:00,2018,1,2018-01-01,221.0,187.0,6.0,9.0,19.0,265.0,235.0,10.0,1.0,19.0,486.0,422.0,16.0,10.0,38.0,224.0,171.0,24.0,4.0,25.0,267.0,216.0,25.0,5.0,21.0,491.0,387.0,49.0,9.0,46.0,both,2018-01-01
4,2018-01-01,15:00:00,2018,1,2018-01-01,250.0,221.0,5.0,14.0,10.0,358.0,333.0,7.0,6.0,12.0,608.0,554.0,12.0,20.0,22.0,251.0,211.0,17.0,1.0,22.0,356.0,320.0,18.0,3.0,15.0,607.0,531.0,35.0,4.0,37.0,both,2018-01-01
5,2018-01-01,18:00:00,2018,1,2018-01-01,236.0,202.0,9.0,10.0,15.0,364.0,321.0,11.0,9.0,23.0,600.0,523.0,20.0,19.0,38.0,239.0,190.0,22.0,8.0,19.0,355.0,290.0,31.0,10.0,24.0,594.0,480.0,53.0,18.0,43.0,both,2018-01-01
6,2018-01-01,21:00:00,2018,1,2018-01-01,199.0,158.0,5.0,15.0,21.0,395.0,335.0,17.0,13.0,30.0,594.0,493.0,22.0,28.0,51.0,201.0,154.0,11.0,11.0,25.0,397.0,321.0,27.0,10.0,39.0,598.0,475.0,38.0,21.0,64.0,both,2018-01-01
7,2018-01-01,24:00:00,2018,1,2018-01-01,150.0,123.0,2.0,9.0,16.0,227.0,188.0,5.0,13.0,21.0,377.0,311.0,7.0,22.0,37.0,147.0,115.0,7.0,6.0,19.0,228.0,179.0,11.0,12.0,26.0,375.0,294.0,18.0,18.0,45.0,both,2018-01-01
8,2018-01-02,03:00:00,2018,1,2018-01-02,65.0,50.0,2.0,6.0,7.0,160.0,128.0,5.0,8.0,19.0,225.0,178.0,7.0,14.0,26.0,66.0,45.0,4.0,10.0,7.0,160.0,121.0,7.0,11.0,21.0,226.0,166.0,11.0,21.0,28.0,both,2018-01-02
9,2018-01-02,06:00:00,2018,1,2018-01-02,267.0,248.0,1.0,9.0,9.0,371.0,331.0,14.0,7.0,19.0,638.0,579.0,15.0,16.0,28.0,265.0,243.0,4.0,3.0,15.0,369.0,295.0,39.0,12.0,23.0,634.0,538.0,43.0,15.0,38.0,both,2018-01-02
